id,title,source,pub_date,topic,hdbscan_cluster
a43a3bb37fbdadf382356c83ce9705cc,The Taliban senses an opening as it pushes for diplomatic recognition in talks with Trump administration,cnn,2025-04-02 14:55:02,top,0
b0938d342be5f47dd3395aa5ff19fa70,Afghan pilots who fought in 20-year war against Taliban in limbo after Trump blocks US resettlement plans,cnn,2025-03-29 00:56:41,top,0
e15b654ab355789037096d14869f0ad7,Taliban Release An American Man Who Was Abducted While Traveling In Afghanistan,huffpost,2025-03-20 14:23:33,world,0
190a4478725943bf0de7366d3709bf50,His brother’s keeper: Gal Dalal pleads for help as his brother Guy suffers in Hamas captivity,foxnews,2025-03-21 15:55:21,world,0
7795df8c964f6d91b4cdbdabd0a2ceda,Israel orders IDF to seize more Gaza territory if Hamas doesn't release hostages,foxnews,2025-03-21 12:08:22,world,0
6d32b57e497906e9bece1ea650656ea0,"Israel begins ground operation in Hamas stronghold of Rafah, expands activities in Gaza",foxnews,2025-03-20 19:12:28,world,0
c81296e386d52c12969e1f9c8b2d4673,Canada says China executed 4 Canadians this year amid rising tensions between the countries,foxnews,2025-03-20 16:41:18,world,0
89ac37f77c045378e61622e3012a3a96,"Israel reimposes blockade of northern Gaza, including capital Gaza City",foxnews,2025-03-20 13:12:02,world,0
a2d24dc6425975f35f6c33f8dedfd5c0,Military leaders to meet on UK-France 'coalition of the willing' plan for Ukraine,foxnews,2025-03-20 11:47:46,world,0
eeda2ba44997d10945d133b3083aa213,Pentagon watchdog launches probe of Hegseth Signal messages,cnn,2025-04-03 18:44:55,top,0
da63ae7775dc970bb00f326687b8941e,World leader agrees with Vance that mass migration is threat to 'daily life',foxnews,2025-03-20 11:36:03,world,0
a76a5211cfe0b46d85884cefa541cbe6,New search for Malaysia Airlines Flight 370 approved more than a decade after disappearance,foxnews,2025-03-20 11:34:12,world,0
9ad44d88fa75598c67461f40f02dd93d,Hamas launches first attack on Israel since ceasefire collapse,foxnews,2025-03-20 10:21:08,world,0
409c598919e67d81e9ed7ddd71b19d36,Trump vindicated as explosive report confirms Iran supervises Houthi 'political and military affairs',foxnews,2025-03-20 08:00:56,world,0
9bb486ce4b59df1d2b2a2d4da0875524,Turkish authorities arrest key rival of Erdogan; critics say it's 'no coincidence',foxnews,2025-03-19 20:15:49,world,0
0ef2161831e3facf0d44bf97613a12ca,"With some athletes ‘suffering financially,’ Michael Johnson hopes his new league can bring value to track and field",cnn,2025-04-03 08:13:55,top,-1
8ef222d6f43e037cd99844a34d8bf70b,"Israeli strikes on Hamas amount to 'death sentence' for remaining hostages, terror group says",foxnews,2025-03-18 12:28:54,world,0
d23903ec1c356430325849572ee8a742,Trump launches historic global trade war,cnn,2025-04-03 09:37:22,top,0
60c068f2cc5de3c49e8b65b6c256c4ae,Democrats are playing politics with Americans' safety,washingtontimes,2025-03-28 17:47:39,entertainment,0
74bac327330ebc1e40c11b7de4d51773,The CDC buried a measles forecast that stressed the need for vaccinations,cnn,2025-03-31 11:00:35,top,0
dd457709117c6b636ddc761e61d07827,Fact check: Trump’s false claims about tariffs and trade,cnn,2025-04-02 22:40:09,top,0
e9fe6cae31e6195f1391e47e24f3a160,Wisconsin's Supreme Court race is pivotal to upholding common-sense governing,washingtontimes,2025-03-27 19:19:40,entertainment,0
d2ad3a6903444ee7d7389568270e6291,Trump Imposes Trillions Of Dollars In New Taxes On Americans,huffpost,2025-04-02 22:36:52,politics,0
649751976911a15d6cccc8913300be92,"Democrat Targets Elon Musk, DOGE Employees With Drug Testing Bill",huffpost,2025-04-02 22:15:37,politics,0
20f9539b0a1b181d11c5a0f0ab9a8b1f,GOP Poised To Confirm Anti-Voting Rights Extremist To Lead DOJ's Civil Rights Division,huffpost,2025-04-02 22:11:05,politics,0
182ec69894746c16c3cf4fcc07a32288,Footprints show giant carnivorous dinosaurs and their plant-eating prey drank from same Scottish watering hole,cnn,2025-04-02 18:11:29,top,0
0c5b96a2715f3633b80def0b2a92b137,‘Is Our Patriotism Tied To Wall Street’: Charles Payne Rips Media For Ignoring Blue Collar Workers In Tariff Coverage,dailycaller,2025-04-03 15:06:05,politics,0
b99daeca089f7e50b141249a22d9ca3e,House lawmakers trade accusations over weaponized federal law enforcement in fiery hearing,washingtontimes,2025-04-02 22:12:29,politics,0
4698b30d6332cb6b519747b8925c03ac,World leaders react to Trump’s sweeping tariffs: ‘tumultuous times’ ahead,foxnews,2025-04-03 16:50:52,world,0
eb670054cb180e6a952d2ca07c3e7a4c,Rubio arrives in Brussels for NATO talks amid unease over Trump’s agenda,foxnews,2025-04-03 09:59:30,world,0
4702b71a3b16bd8d369e8bcd0ae1c8b7,Law Firm That Caved To Trump Is Ripped By Descendants Of Firm’s Patriarch,huffpost,2025-04-02 21:45:08,world,0
0171a4f6339ed4099062cb8fa71e8000,GOP Rep Somehow Thinks Quoting Infamous Nazi At Hearing Is A Good Idea,huffpost,2025-04-02 19:51:32,world,0
